cluster_id	n_words	words
1	360	सकभर सकिँदैन सकिदैन सकिनेछ सकेकाले सकेपछि सखडाको सखरको सघनता सचिवका सचिवको सचेतक सचेतना सजदामा सजाइएको सजातीय सजायका सजायको सजिलाको सजिलोको सडकको सडकमा सडकले सतहका सतहको सतहमा सत्सँगको सदनका सदनमा सदाशिव सधैँजसो सनकादि सपनाको सपनामा सफलता सबजना सबैकुरा सबैखाले सबैजना सबैजसो सबैतिर सबैमाथि सबैसबै सभापति सभाहरू समचार समझता समझौता समथर समयका समयकै समयको समयमा समयमै समयले समागम समाचार समाजका समाजको समाजमा समाजमै समाजले समाजिक समातियो समातेका समातेमा समातेर समाधिको समानको समानता समितिका समितिकी समितिको समितिमा समितिले समिपमा समुहका समुहको समूहका समूहकै समूहको समूहमा समूहले समेटेका समेटेको समेटेर समेतका समेतमा सरकार सरकारी सरकाले सरदर सरदार सरलता सरसोको सरहको सरासर सराहना सरेपछि सरोकार सरोजजी सरोजले सरोजिनी सरोवर सर्करा सर्गमा सर्जक सर्जम सर्जरी सर्जियो सर्दैन सर्पका सर्पको सर्पले सर्भर सर्लका सर्लाही सलादको सलामका सलामले सल्लमा सल्लाका सल्लाह सल्लेरी सल्लोको सवालको सवालमा सवासय सविताका ससेजको सहकारी सहजता सहदेव सहदेवी सहपाठी सहभागि सहभागी सहमति सहमती सहयोगि सहयोगी सहरका सहरकै सहरको सहरमा सहरले सहरसा सहरिया सहायक सहायको सहायता सहितको सहोदर साँझदेखि सागरका सागरमा साझेदार साझेदारी साठीघर सातजना सातधारा सातवटा साताभर साथीहरू साधनको साधनाको सानदार सानीभेरी सानेपाली सानैदेखि साबुनको साभारको सामयिक सामरिक सामानको सामानमा सामुहिक सामूहिक सारणीको सारनको सार्कीकी सार्कीको सार्कोजी सार्थक सार्दैमा सार्नको सार्नेमा सालताका सालतिर सालतिरै सालदेखि सालपछि सालभर सालभरि साविकको साहबको साहबले साहसिक साहायक साहिबको साहुकार साहेबको सिँढीहरू सिकागोमा सिकारका सिकारको सिकारीको सिकारीले सिजदामा सिजनको सिजनमा सिडनीको सिडनीमा सिधामाथि सिनेटका सिनेटमा सिनेटर सिनेटले सिनेमाका सिनेमाको सिनेमामा सिपाहीको सिपाहीले सिफलमा सिमसार सिमानाको सिमानामा सिमालीको सिरमौरी सिरसिर सिरहको सिरानीको सिरिजको सिरुवारी सिरेमिक सिरैकीमा सिर्जना सिर्तमा सिर्सेनी सिलसिला सिलावको सिलौटामा सिल्लिमो सिसपका सिसपको सीटहरू सीनेटर सीमानाको सीमापारी सीमाहरू सुकाइएको सुकेकाको सुकेपछि सुखहरू सुजाकको सुझावका सुझावको सुटिङका सुटिङमा सुधाकर सुधामय सुधारक सुधारका सुधारको सुधारमा सुधारेको सुनकोशी सुनकोसी सुनखानी सुनगाभा सुनचरी सुनचाँदी सुनपानी सुनसरी सुनाइएको सुनाइएन सुनापति सुनुवार सुनेपछि सुपारीको सुमतिका सुमतिको सुमधुर सुरबाजा सुरविर सुराकीका सुरुदेखि सुरुवाती सुरूदेखि सुरूवाती सुर्तीका सुवासिलो सुविधाका सुविधाको सुविधामा सुविधाले सुवेदीका सुवेदीकी सुवेदीको सुवेदीजी सुवेदीले सुसारेको सूचनाका सूचनाको सूबेदार सूर्यका सूर्यको सूर्यमा सूर्यले सेगनको सेजिमको सेतीखोला सेतीदेवी सेनापति सेनाबाटै सेनामाथि सेनाहरू सेमिनार सेयरले सेरचौर सेरबानी सेवकका सेवनले सेवापछि सेवाहरू सैतानको सैनिकका सैनिकको सैनिकमा सैनिकले सोचेपछि सोडियम सोनेराले सोपानमा सोमबार सोरेनका सोरेनले सोर्हौँले सोलुतिर सोसायटी स्क्रिनको स्ट्रोकका स्ट्रोकमा स्ट्रोकले स्वभावका स्वभावकी स्वभावको स्वभावमा स्वभावले स्वभाविक स्वरदेखि स्वरूपको स्वरूपमा स्वरूपले स्वर्गका स्वर्गको स्वर्गमा स्वर्गीय स्वर्णिम ७००को
2	354	पँखेटा पँहेलो पकला पकाना पकिर पकौडी पखाला पखाली पखेटा पचासी पचासौँ पचौरी पछाडि पछाडी पछारे पछिका पछिको पछुतो पजारु पटक पटका पटना पटर पटले पटासी पटुका पटुकी पटौटी पठाको पठायो पठार पठारी पडाव पढदा पढेका पढेकी पढेको पढेमा पढेर पणेना पताका पतिको पतिले पतेरे पतौरा पथको पथमा पथरा पथरी पथिक पथेरा पदक पदका पदको पदम पदमा पदवी पदिय पदीय पनाती पनामा पनिर पनौती पन्ध्र पन्ध्रौँ पपडी पपिहा पफर पमिता परम परशु परासी परिधि परेका परेकि परेको परेछ परेझैँ परेमा परेर परेरै परेलि परेवा परोहा पर्च पर्चा पर्छ पर्छे पर्ट पर्ण पर्ती पर्थे पर्दा पर्दै पर्न पर्ने पर्नै पर्ब पर्यो पर्ल पर्ला पर्वत पर्सा पलक पलको पलना पलमा पलायो पलेटी पल्लो पवार पशिका पशुको पसिना पसेका पसेर पहरा पहरी पहले पहाडी पहिरो पहिला पहिली पहिले पहिलै पहिलो पहेँला पहेँलो पहेले पहेलो पाँगर पाँचौँमा पाँडेको पाइएका पाइएको पाइएता पाइएन पाइएमा पाइएला पाकेको पाखामा पाखुरा पाखोमा पाङमा पाचक पाटनी पाटलि पाटली पाटीका पाटीकी पाटीको पाटीले पाठक पाठको पाठमा पाणिनि पातका पातको पातमा पातले पातलो पाताले पानको पानमा पानाको पानामा पानीका पानीको पानीझैँ पानीमा पानीले पापले पापीको पापीले पामर पारखी पारणा पारमा पारसी पाराम पाराले पारियो पारीका पारेका पारेकी पारेको पारेर पार्क पार्छ पार्ट पार्टी पार्थे पार्दा पार्दै पार्न पार्ने पार्यो पार्श्व पालना पालाम पालामा पालिखे पालिता पालिने पालेका पालेको पालेर पावर पासर पाहडी पाहिलो पाहुना पिँडाली पिँडालु पिँढीको पिँधमा पिँधेर पिङको पिजडा पिजिडि पिटर पिटेकी पिटेर पिठोको पिठोमा पिडालु पिडोको पिढीको पिताका पिताको पिताजी पिताले पिनेर पिपला पियानो पियारो पिरको पिर्छे पिर्ने पिसिमा पिसेर पीठका पीठको पीठमा पीडाको पीडामा पीडाले पीढीको पीसेर पुकार पुगेँछु पुगेका पुगेकी पुगेको पुगेछ पुगेछु पुगेर पुजक पुजाको पुजारी पुजिने पुजेर पुणेको पुणेमा पुतली पुनले पुरक पुराना पुरानै पुरानो पुरिने पुरीको पुरेर पुरैना पुर्खा पुर्जी पुर्न पुर्ने पुलका पुलको पुलमा पुलले पुलेसा पुवार पुसमा पूँजीमा पूजाको पूजामा पूजारी पूजाले पूरक पूर्ण पूर्णा पूर्णी पूर्ति पूर्वज पूर्वल पूर्वी पेचेक पेजको पेजमा पेजमै पेजले पेजेका पेटका पेटको पेटमा पेटिका पेपर पेयको पेयमा पेरुकी पेरुको पेरूमा पेर्रि पेलेको पेलेर पेलेले पेशको पेशेका पैठारी पैताला पैपिला पैसाका पैसाको पैसाले पोकली पोखर पोखरा पोखरी पोखरे पोखेको पोगटी पोटर पोतको पोथीले पोपकी पोपको पोर्ट पोर्न पोलेको पोलेमा पोलेर पोशाक पोषक पोषिलो पोसाक पोसिला पोसिलो पौडिने पौराही १५ ५मा ८५
3	348	ककरु कचुर कचौरा कछारी कटारी कटिँदै कटौती कठोर कडीको कणको कतार कतिको कतिमा कतिले कथाका कथाको कथामा कथाले कदको कदम कदर कदली कदापि कनर कनार कनेरी कपको कपडा कपमा कपर कपाली कपुर कपुरी कपूर कपेला कफीको कबिर कभर कभार कमको कममा कमला कमलो कमिक कमिटी कमिला कमिलो कमीका कमीको कमीले कमेडि कमेडी कमेरो कमैया करनी करम कराँची कराते करार करिना करिव करुड़ करुणा करूणा करेँगे करेती करैया करोडौँ करौँती करौता करौली कलना कलम कलमी कलर कलह कलाँती कलाका कलाको कलाम कलामा कलामै कलिली कलिलो कलेजी कलेजो कलेरा कलैया कवर कवाली कविका कविको कविता कविले कवीर कसको कसम कसमे कसरी कसले कसार कसीमा कसेनी कसेर कसैको कसैमा कसैले कसैलो कसौटी कसौडी कहना कहनू कहानि कहिले काँगडा काँचको काँचुली काँचोमा काँतरे काँधमा काँसको काँसाको काकडा काकाका काकाको काकाले काकीको काखमा काखीमा काखैमा कागको कागति कागती काजमा काजीको काटनु काटिँदै काटेका काटेको काटेर काठका काठकै काठको काठमा काठले कातामा कातेर कानको कानमा कानाको कानिया कानूनी कापीमा काबेली कामका कामको कामदा कामना कामपा काममा कामरू कामला कामले कामुक कायम कायमै कायला कायिक कारक कारको कारमा कारीले कालका कालकै कालको कालमा कालमै कालिका कालिको कालीका कालीको कालोमा कावेरी काशीका काशीको काशीमा काहुले किचक किचेर किटेर किताबी किनकि किनकी किनको किनार किनारा किनारी किनेका किनेमा किनेर किमका किमकी किमको किमले किमिको किमीको किमीमा कियानी किराँती किराती किराना किराले किरावा किरिया किलामा किलोका किशोर किशोरी किसिम कीटाणु कीराले कुँदेर कुँवर कुकको कुकले कुकुर कुकोर कुखुरा कुखुरी कुचर कुटिया कुटिला कुटीका कुटीमा कुटीर कुटुकी कुटुली कुटेर कुडवा कुडारी कुडिया कुनामा कुनैको कुनैमा कुबाचा कुबेर कुभलो कुमार कुमारी कुमारै कुराका कुराको कुरामा कुरारी कुराले कुरिया कुरिलो कुरेको कुलका कुलको कुलमा कुलादि कुलिक कुलीमा कुवाको कुवामा कुसहा कुसाहा कुसिक कुसिलो कुसुम कुहिने कुहिरो कूपया केटको केटले केटाले केटीले केतुको केदार केनरा केनरी केनिया केपमा केमैन केराको केरामा केरौजा केशर केशरी केशव केसीका केसीले केहिले केहीको केहीमा केहीले कैकटि कैदमा कैदीको कैलको कैलाली कैलेको कैसर कोखकी कोखमा कोचको कोचले कोचिला कोजिरो कोटका कोटको कोटमा कोटाका कोटामा कोटिका कोटिको कोटिमा कोटीका कोठाको कोठामा कोडमा कोणमा कोणीय कोतका कोतको कोतमा कोदोको कोपिला कोरमा कोराक कोरिया कोरेर कोलीय कोलोनी कोवमा कोशिका कोशीमा कोषका कोषको कोषडा कोसेली कोहीको कोहीले कौरव कौशिकि कौशिकी कौसीमा
4	328	सकिने सकियो सकेका सकेको सकेमा सकेर सखडा सखर सचिव सजाय सजिला सजिलै सजिलो सजीव सटर सटले सटिक सटीक सडक सतह सतही सतायो सदर सदैव सधैँका सधैँको सनीमा सपना सपने सफाया सफारी सबका सबको सबले सबारी सबेरै सबैका सबैकी सबैको सबैमा सबैले सभाका सभाको सभामा समती समते समय समर समाती समाधि समाय समायो समिति समुह समूह समोरा सयको सरको सरले सरह सराह सरिक सरेको सरेर सलाका सलाफी सलाम सलामि सलामी सलेबी सवार सवारी ससाना ससानो सहको सहजै सहनु सहने सहर सहरी सहरे सहसा सहारा साँखुका साँगुरो साँघुरा साँघुरो साँचेकी साँझको साँझमा साँढेको साँदेर साँधमा साँपका साँपमा साँवरी साकार साकेला साकेवा साखेवा सागर साङगा साङवा साझाले साटियो साठीको साताको सातामा सातौँमा साथको साथमा साथीको साथीले साधक साधना सानको सानिया सानोमा सापको साफमा साभार सामना सामानी सायक सायदै सायामा सारका सारथि सारथी सारियो सारेका सारेको सारेमा सालक सालका सालकै सालको सालमा सालमै साविक साशक सासनी साहना साहसी साहिँली साहिबी साहुजी साहुले सिकागो सिकार सिकारी सिकारु सिकेका सिकेकै सिकेको सिकेर सिङको सिङगे सिजर सिजीका सिजीले सिटको सिटमा सिटीको सिटीमा सिटोको सिडनी सितारा सिनेमा सिनेरा सिपालु सिपाही सिमसा सिमाना सिमामा सिमाली सिमीको सियाला सियोको सियोले सिरक सिरको सिरहा सिराहा सिरिमा सिरेमा सिरोही सिलिका सिलिबु सिलीमा सिलौटो सिवाय सीकरी सीताका सीताको सीपको सीपमा सीपले सीमाको सीमाना सीमामा सुँगुर सुँघेको सुँघेर सुकीका सुकीको सुकीले सुकेका सुकेको सुकेर सुकौरा सुखका सुखको सुखमा सुखले सुगम सुगर सुगुरे सुगौली सुचारु सुचीमा सुजाक सुझाव सुतक सुतेको सुतेर सुदुर सुदूर सुधार सुधारी सुधिर सुनका सुनकै सुनको सुनमा सुनले सुनार सुनिने सुनियो सुनेका सुनेको सुनेर सुनौला सुनौलो सुपको सुपर सुपले सुबह सुमको सुमति सुरमा सुराकी सुरीले सुरुका सुरुको सुरुचि सुरुमा सुरूमा सुरौदी सुशीला सुसारे सुसुम सूचक सूचना सूचीका सूचीको सूचीमा सूदुर सूरीको सेटको सेटमा सेटले सेटिभा सेठको सेतीको सेतीमा सेतुको सेनका सेनकी सेनको सेनाका सेनाकै सेनाको सेनानी सेनामा सेनाले सेफको सेमिको सेयर सेरको सेरामा सेरिना सेरेना सेलर सेलायो सेवाका सेवाको सेवामा सेवाले सैँबुमा सैतानी सैनिक सैलामा सोखले सोचको सोचेको सोधिने सोधियो सोधेका सोधेकी सोधेको सोधेछ सोरठी सोलुको सोवको सोवेटो सौखका सौखले सौतेनी सौदाको सौराहा स्वभाव स्वयम स्वरका स्वरको स्वरमा स्वरले ८७
5	318	मँहगो मककु मकनै मकर मकैको मगर मगही मचाहिँ मजाक मजुरे मझौला मटर मठका मठको मठमा मणिक मणिको मतका मतको मतमा मतले मत्सुया मथुरा मदानी मदिरा मदीना मदुरै मदेखि मधिसे मधुर मधेशी मधेसी मनका मनको मनमा मनले मनसा मनामा मनिला मनुको ममता ममाथि मराठी मरेका मरेकी मरेकै मरेको मरेमा मरेर मर्का मर्छ मर्छु मर्जी मर्द मर्दा मर्दी मर्न मर्ने मर्म मर्यो मलका मलको मलमा मलय मलाम मलामी मलाया मलायो मलावी मलिक मलिलो मलीको मलेखु मल्ल मल्लु मशाला मसँगै मसला मसिना मसिनो मसुर मसूडे मसोली महँगा महँगो महको महगो महतो महत्व महमा महिना महिने महिनौँ महिमा महिला महीना महोबा माँगको माकुरा मागका मागको मागावा मागेका मागेको मागेमा मागेर माघमा माछाका माछाको माछामा माछाले माझका माझमा माझीको माझीले माटाको माटोका माटोको माटोमा माटोले माणिक मातमा माताका माताको माथको माथिका माथिको माथुर माथेमा मादक माधव मानक मानको मानव मानिँदै मानिदैँ मानिने मानियो मानेका मानेकी मानेको मानेमा मानेर मानेरै मापमा माफिक माफिया माफीमा मामाका मामाको मामाले मामिला मायाका मायाको मायामा मारमा मारिँदा मारिने मारिया मारियो मारेका मारेको मारेर मार्क मार्को मार्ग मार्च मार्छ मार्न मार्ने मार्यो मार्स मार्सी मालका मालर मालाका मालामा मालिक मालिनी मालेको मालेमा मालेले मावली माविको मासिक मासुको मासुमा माहिर माहिला माहिली माहिलो मिङमा मिटर मिडिया मितिले मिथिला मिनार मिरर मिरिक मिर्जा मिलको मिलर मिलले मिलिया मिलेका मिलेको मिलेर मिसिँदै मिसिदा मिसिदै मिसिने मीराले मुकाम मुकासा मुखको मुखमा मुखले मुखिया मुगाबे मुटुको मुटुमा मुडमा मुडेर मुनको मुनरो मुनाफा मुनिका मुनिको मुनिले मुभिमा मुरको मुरडो मुरली मुरले मुरीको मुर्छा मुर्ति मुलका मुलकी मुलकै मुलाको मुलुक मुल्ला मुसाको मुसुरो मूर्ख मूर्त मूर्ति मूर्ती मूलक मूलका मूलकी मूलको मूलमा मेघका मेघोली मेचीका मेजर मेटामा मेटायो मेटिने मेटियो मेथीको मेदेखि मेधावी मेनका मेनपा मेयर मेरीका मेरीको मेलको मेलले मेलाको मेलामा मेलिक मेलिया मेषको मेसीले मेहर मेहसि मैथिली मैदानी मैदाने मैनको मैनझैँ मैनाली मैनाले मोगली मोजेक मोटर मोडमा मोडेम मोडेर मोरिया मोरेको मोरेर मोर्चा मोर्स मोलेरै मोहका मोहको मोहडा मोहमा मोहर मोहोडा मौकामा मौखिक मौजामा मौजुदा मौजूदा मौनका मौरीको मौर्य मौलायो मौलिक मौलोको मौसम मौसमी
6	316	बँचियो बकैया बगर बगायो बगाले बगेकी बगेको बगेडी बगेर बगैँचा बघिनी बघेला बचेका बचेकै बचेको बचेर बजार बजारी बजेका बजेको बटनी बटुको बटुले बटुवा बढती बढायो बढावा बढीका बढीको बढीमा बढीले बढेका बढेको बढेछ बढेर बतायो बतासे बतौर बदर बदला बदली बदले बधको बनाइए बनाम बनायो बनायौ बनिने बनेका बनेकी बनेको बनेगा बनेपा बनेमा बनेर बबर बबुचा बमको बममा बयर बरखी बराजु बराठे बराम बराह बरिया बरुवा बलका बलको बलमा बलर बलले बलिका बलिको बलिया बलियो बलिले बलीमा बलौटे बलौटो बल्ल बल्ला बसको बसमा बसले बसाना बसाली बसाले बसाहा बसुँला बसुको बसुले बसेका बसेकी बसेको बसेर बसेरा बहना बहने बहार बहाली बहिनी बहिरा बहिरी बहिरो बहुतै बहुधा बाँकीका बाँकेका बाँकेको बाँचेका बाँचेको बाँचेर बाँडेको बाँडेर बाँदर बाँधमा बाँधिने बाँधेर बाँसका बाँसको बाँसमा बागको बाघको बाघमा बाछिटा बाछीमा बाजाका बाजाको बाजामा बाजाले बाजुरा बाजेको बाजेले बाटनै बाटामा बाटुलो बाटैमा बाटोको बाटोमा बाठोको बाढीको बाणले बादक बाधक बाधेको बानियाँ बानीले बाबर बाबरी बाबाका बाबाको बाबुका बाबुको बाबुले बाबूको बारको बारमा बारह बाराकी बाराही बारीका बारीको बारीमा बारेको बारेमा बालक बालकै बालाजु बालिने बालीको बालीमा बालुवा बालेको बालेर बालोमा बासरा बासीमा बासुकी बासेको बाहिर बाहिरी बाहुला बाहुले बाहेक बिगहा बिगारी बिजया बिजुली बिजोर बिताको बितेका बितेकी बितेको बितेर बिदाका बिदाको बिनाको बिनायो बिपिले बिबिसी बिमला बिमार बिमारी बिमिरा बियर बियोको बियोमा बियोले बिरला बिरलै बिरानो बिरामी बिरालो बिरुवा बिलका बिलको बिलमा बिलय बिलरी बिषय बिषालु बिसेक बिहानै बिहार बिहारी बिहेमा बीकम बीचको बीचमा बीचमै बीजको बीजमा बीनाको बीमाको बुकमा बुझायो बुझेका बुझेर बुढाका बुढाको बुढाजी बुधको बुनेर बुबाको बुबाले बुहारी बेँसीमा बेकामी बेकार बेकारी बेगम बेगर बेगारी बेचियो बेचेको बेचेर बेडाको बेतार बेतिया बेथिति बेनामी बेनीमा बेबीको बेयर बेरेको बेरेर बेलको बेलले बेलाका बेलाको बेलामा बेलुका बेलुकी बेलैमा बेसमा बेसरी बेसिक बेसीका बेहुली बैँसैमा बैङक बैजनी बैठक बैतडा बैतडी बैरागी बोकाको बोकिने बोकेका बोकेकी बोकेको बोकेर बोगटी बोटको बोटमा बोडीको बोडेका बोथाले बोधक बोधमा बोयर बोरका बोरामा बोलको बोलझै बोलायो बोलिने बोलीको बोलीने बोलेको बोसकी बोसको बोसले बोहरा बोहोरा
7	313	कचिडेमा कछडिया कटहर कटानको कटारका कटिहार कटुताको कटौतीमा कणादका कतिखेर कतिबेला कतैकतै कथकली कथाकार कथानक कथानाक कथाहरू कदमका कदमको कदममा कनरको कपडाका कपडाको कपडामा कपडाले कपासमा कपुरको कफनमा कफलीले कफीदेखि कबिलासी कमजोर कमजोरी कमनमा कमनर कमरमा कमलको कमलर कमलरी कमलाको कमलाजी कमलामा कमलाले कमाइएको कमानको कमानमा कमिटिको कमिटिला कमिटीको कमिटीमा कमिटीले कमिसार कमेटीले कमेडिया कमेडीमा कमेरोको कमेरोले कमैयाका करताली करफोक कराँचीको करातेमा करातोया कराहीको करिडोर करियर करुणाकी करुणाको करुणाले करूणाको करोडको कलमको कलममा कलरको कलवार कलशको कलशमा कलाकार कलाघर कलादेखि कलामको कलामले कलेजको कलेजमा कलेजले कलेजोका कलेजोको कवचका कविताका कविताको कवितामा कविताले कवित्वको कविलासी कवीरका कवीरको कवीरले कशेरुकी कसारको कहरवा कहलिने कहलियो कहानिको कहीँकतै कहीँकहीँ काँडाघारी काँडादार काकताली काकतीय कागजमा कागजले कागतीको कागबेनी कागभेला कागहरू काटेपछि काठफोर काठमाडौ काठमाडौँ काणपाते कानकैले कानपाते कानपुर कानूनमै कानूनले काफलको काबुलमा कामकाजी कामतुर कामदार कामदेखि कामनाका कामनाले कामरूपा कामहरु कामहरू कामातुर कामेश्वर कारकत्व कारखाना कारगर कारणका कारणको कारणमा कारणले कारधनी कारबाही कारभोटे कारवाही कारहरू कारागार कारिगरी कारिबको कारुणिक कारोबार कारोवार कार्बाही कार्वाही कालजनि कालदेखि कालबाटै कालापानी कालाहरु कालाहादा कालिकाको कालिकोटे कालिगडी कालिमाटी कालीखोला कालीजुरे कालीबोर कालीमाटी कालेगाँडा कालेश्वर कालोढाडे कालोपोतो किचलोको किटिङले किताबको किताबमा किताबले किननको किनभने किनारका किनारको किनारमा किनारमै किनाराका किनाराको किनारामा किन्ड्रेक किपटको किपरको किमडाँडा किरणका किरणको किरणले किरदार किराँतकै किराँतको किराँतमा किराहरू किरीटमा किलादेखि किलाहरू किलेदार किलेनुमा किसिमका किसिमको किसिमले कीचकको कुँवरको कुँवरले कुकुरका कुकुरको कुकुरमा कुकुरले कुखुराको कुखुराले कुचिपुडी कुटीहरू कुतकुती कुदेशमा कुनातिर कुनैकुनै कुनैदिन कुनैपनि कुबाचाका कुबाचाको कुबाचाले कुमारका कुमारको कुमारजी कुमारले कुमारीका कुमारीको कुमुदिनी कुरबानी कुराकानी कुरानको कुरानमा कुराहरु कुराहरू कुरियर कुरीकुरी कुरीतिले कुरूपको कुलनाम कुलपति कुवेतमा कुशलता कुशेचौरी कुशेश्वर कुहिरोले केटाहरू केदारजी केन्द्रका केन्द्रको केन्द्रमा केन्द्रले केन्द्रीय केबुलको केबुलले केरकार केरलका केरलकै केरलको केरलमा केरलमै केरलामा केरवानी केराबारी केरावारी केरूङको केसरिया केसरीको केसारिया केहीहरू कैदीहरू कैनमर कैलपछि कैलालीको कैलोपेटे कोकाकोला कोखाजोर कोटहरू कोटायक कोटेश्वर कोठरीमा कोणधारी कोदारिया कोदालोको कोपिलाको कोमलता कोरसका कोरसले कोरियली कोरियाका कोरियाको कोरियामा कोरियाली कोरियाले कोलकाता कोलाकुली कोलोनका कोलोनीमा कोलोराडो कोशिकाको कोशिकामा कोसेलीको कोहवारा कौरियाला कौशलको
8	269	पँधेरोमा पकानको पकेटको पखालामा पखालेको पखेटामा पगालियो पगालेर पचमुखे पछाडिका पछाडिको पछिदेखि पछिपछि पटकको पटकथा पटकमा पटखौली पटनाका पटनाको पटनामा पटियाला पटिहानि पटुकाको पठाइएका पठाइएको पडरिया पडसरी पणेनामा पतझर पतनको पतनुका पतरिया पथरिया पथरैया पथलैया पथिकको पदकका पदनाहा पदभार पदहरू पदुमका पनिरको पनिरमा पनौतीका पनौतीको पनौतीमा पन्द्रमा पन्ध्रमा परकीय परकोटे परगना परजीवि परजीवी परपर परपोती परभणी परमाणु परलोक परवाह परसौनी पराजय पराजुली परालको पराशर परासीकै परासीमा परिकथा परिकार परिकौली परिचय परिणति परिणाम परिपक्व परिपाक परिपाटी परिभाषा परिमेय परियार परिवार परिसर परिहालेँ परेकाले परेकोमा परेडका परेपछि परेलमा परेवाका परेशानी पर्चाको पर्छिने पर्टीका पर्टेवा पर्थको पर्दछ पर्दथे पर्दाका पर्दामा पर्दैन पर्नाले पर्नुका पर्नुमा पर्नेको पर्नेछ पर्नेमा पर्बते पर्याय पर्रोहा पर्वाह पर्साको पलासको पशुहरू पसलका पसलको पसलमा पसलेले पसिनाको पसिनाले पहरामा पहराले पहलमा पहाडका पहाडको पहाडमा पहाडले पहाडीको पहाडीया पहिराका पहिरिने पहिरोले पहिलाका पहिलाकै पहिलाको पहिलेका पहिलेकै पहिलेको पहुँचमा पाँचजना पाँचथर पाँचदेखि पाँचपछि पाँचमुखे पाँचवटा पाँचवटी पाँचवटै पाँचसय पाँचैवटा पाकडको पाकरीको पाकेपछि पाखाहरू पाचवटा पाटकर पाटनका पाटनकै पाटनको पाटनमा पाठकको पाठकले पाठनको पाठनमा पाठशाला पाठहरू पातहरू पातेमेला पाथिभरा पाथीभरा पादरीका पानाहरू पानीजति पानीमाथि पानीमुनि पानीवाला पारसले पारहरू पारिणाम पारिरहे पारेकाले पारेकोले पारेपछि पार्कको पार्कमा पार्टिका पार्टिला पार्टीका पार्टीकै पार्टीको पार्टीमा पार्टीले पार्नका पार्नको पालनमा पालादेखि पालाहरू पालैपालो पिँजराको पिकनिक पितलले पिताजीको पिताजीले पिनासले पिपलको पीडाहरू पीडितका पीडितको पीतोदर पीपलको पुकारियो पुगेपछि पुछारमा पुजारीको पुतनाको पुतलीका पुराणका पुराणको पुराणमा पुराणमै पुराणले पुरानको पुरीहरू पुरुषको पुरुषले पुरूषको पुरूषले पुरैनीया पुर्खाका पुर्खाको पुर्खामा पुर्खाले पुर्खौली पुर्चौडी पुर्यायो पुलचोक पुलतीको पुलहरू पुलिसको पुलिसले पूरकको पूरापुर पूर्णता पूर्णिमा पूर्णिया पूर्णीमा पूर्तिका पूर्वीय पूर्वेली पेकिङमा पेटकैले पेटभरि पेरियार पेरिसका पेरिसको पेरिसमा पैठारीमा पैतालाको पैसादेखि पोकलीको पोखराका पोखराको पोखरामा पोखरिया पोखरीको पोखरीमा पोतहरू पोथीहरू पौडेलको पौडेलजी पौडेलले पौराणिक १५मा
